campus,nível,nome do curso,modalidade,turno,alunos matriculados
Campus Alegrete,Graduação,Ciência da Computação,Bacharelado,Noturno,188
Campus Alegrete,Graduação,Engenharia Agrícola,Bacharelado,Integral,197
Campus Alegrete,Graduação,Engenharia Civil,Bacharelado,Integral,277
Campus Alegrete,Graduação,Engenharia de Software,Bacharelado,Noturno,186
Campus Alegrete,Graduação,Engenharia de Telecomunicações,Bacharelado,Integral,148
Campus Alegrete,Graduação,Engenharia Elétrica,Bacharelado,Integral,238
Campus Alegrete,Graduação,Engenharia Mecânica,Bacharelado,Integral,245
Campus Alegrete,Pós-Graduação,ESPECIALIZAÇÃO EM ENGENHARIA ECONÔMICA,Especialização,Integral,19
Campus Alegrete,Pós-Graduação,Mestrado em Engenharia Elétrica,Mestrado,Integral,25
Campus Alegrete,Pós-Graduação,Mestrado em Engenharias,Mestrado,Integral,40
Campus Bagé,Graduação,Engenharia de Alimentos,Bacharelado,Integral,150
Campus Bagé,Graduação,Engenharia de Computação,Bacharelado,Noturno,236
Campus Bagé,Graduação,Engenharia de Energia,Bacharelado,Integral,189
Campus Bagé,Graduação,Engenharia de Produção,Bacharelado,Noturno,260
Campus Bagé,Graduação,Engenharia Química,Bacharelado,Integral,248
Campus Bagé,Graduação,Física,Licenciatura Plena,Integral,102
Campus Bagé,Graduação,Letras - Habilitação Português e Literaturas de Língua Portuguesa,Licenciatura Plena,Noturno,6
Campus Bagé,Graduação,Letras - Habilitação Português/Espanhol e Respectivas Literaturas,Licenciatura Plena,Noturno,2
Campus Bagé,Graduação,Letras - Habilitação Português/Inglês e Respectivas Literaturas,Licenciatura Plena,Noturno,7
Campus Bagé,Graduação,Letras - Línguas Adicionais: Inglês Espanhol e Respectivas Literaturas,Licenciatura Plena,Integral,127
Campus Bagé,Graduação,Letras - Português e Literaturas da Língua Portuguesa,Licenciatura Plena,Noturno,188
Campus Bagé,Graduação,Matemática,Licenciatura Plena,Noturno,147
Campus Bagé,Graduação,Música,Licenciatura Plena,Integral,78
Campus Bagé,Graduação,Química,Licenciatura Plena,Integral,121
Campus Bagé,Pós-Graduação,Especialização em Modelagem Computacional em Ensino -  Experimentação e Simulação,Especialização,Noturno,12
Campus Bagé,Pós-Graduação,Mestrado em Computação Aplicada,Mestrado,Integral,13
Campus Bagé,Pós-Graduação,Mestrado em Ensino,Mestrado,Integral,25
Campus Bagé,Pós-Graduação,Mestrado Profissional em Ensino de Ciências,Mestrado,Integral,46
Campus Bagé,Pós-Graduação,Mestrado Profissional em Ensino de Línguas,Mestrado,Integral,40
Campus Caçapava do Sul,Graduação,Ciências Exatas,Licenciatura Plena,Integral,96
Campus Caçapava do Sul,Graduação,Engenharia Ambiental e Sanitária,Bacharelado,Integral,132
Campus Caçapava do Sul,Graduação,Geofísica,Bacharelado,Integral,44
Campus Caçapava do Sul,Graduação,Geologia,Bacharelado,Integral,225
Campus Caçapava do Sul,Graduação,Mineração,Tecnológico,Noturno,99
